State,programainicio,execucaoinicio,fimexecucao,fimprograma,definainstrucao,identificador,como,inicio,fim,repita,numero,vezes,fimrepita,enquanto,faca,fimpara,se,entao,fimse,senao,fimsenao,mova,passos,vire,para,esquerda,direita,pare,finalize,apague,lampada,acenda,aguarde,ate,robo,pronto,ocupado,parado,movimentando,frente,bloqueada,acesa,a,apagada,$,Programa,Declaracoes,Declaracao,Bloco,Comandos,Comando,Iteracao,Laco,Condicional,Numeros,Instrucao,Condicao
54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s67, , , , , , , , , , , , , , , , 
55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s68, , , , , , , , , , , , , , , , 
56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s69, , , , , , , , , , , , , , , , 
57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s70, , , , , , , , , , , , , , 
58, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s71, , , , , , , , , , , , , , 
59, , , , , ,s20, ,s14, ,s15, , , ,s16, , ,s17, , , , ,s18, ,s19, , , ,s21,s22,s23, ,s24,s25, , , , , , , , , , , , , , , ,9, ,72,10,11,12, ,13, 
60, ,r18,r18, ,r18,r18, ,r18,r18,r18, , ,r18,r18, ,r18,r18, ,r18, ,r18,r18, ,r18, , , ,r18,r18,r18, ,r18,r18, , , , , , , , , , , , , , , , , , , , , , , , 
61, ,r16,r16, ,r16,r16, ,r16,r16,r16, , ,r16,r16, ,r16,r16, ,r16, ,r16,r16,r16,r16, , , ,r16,r16,r16, ,r16,r16, , , , , , , , , , , , , , , , , , , , , , , , 
62, ,r20,r20, ,r20,r20, ,r20,r20,r20, , ,r20,r20, ,r20,r20, ,r20, ,r20,r20, ,r20, , , ,r20,r20,r20, ,r20,r20, , , , , , , , , , , , , , , , , , , , , , , , 
63, ,r21,r21, ,r21,r21, ,r21,r21,r21, , ,r21,r21, ,r21,r21, ,r21, ,r21,r21, ,r21, , , ,r21,r21,r21, ,r21,r21, , , , , , , , , , , , , , , , , , , , , , , , 
